Fund,Fund Description,Department,Department Description,Business Unit,Business Unit Description,Object Account,Object Account Description,FY2010 Budgeted Revenues,FY2010 Actual Revenues,FY2011 Budgeted Revenues,FY2011 Actual Revenues,FY2012 Budgeted Revenues,FY2012 Actual Revenues,FY2013 Budgeted Revenues,FY2013 Actual Revenues,FY 14 Budgeted Revenues,FY 14 Actual Revenues,FY 15 Budgeted Revenues,FY 15 Actual Revenues,FY 16 Budgeted Revenues,FY 16 Actual Revenues,FY 17 Budgeted Revenues,FY 17 Actual Revenues,FY18 Budgeted Revenues,FY 18 Actual Revenues,FY 19 Budgeted Revenues,FY 19 Actual Revenues,FY2020 Budgeted Revenues,FY2020 Actual Revenues
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401110,Real Prop-current,-283317200,-293738729.75,-297817300,-291192687.08,-293496200,-294690038.36,-318639600,-318839364.53,-326451300.00,-325834795.40,-331725100.00,-330459285.07,-334494800.00,-338208673.46,-345991900.00,-350952735.58,-364078700.00,-364985146.19,-377299900.00,-377346617.13,-387655300,-386077660.39
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401120,Personal Prop-current,-19150600,-18671642.38,-18835300,-18462411.61,-18670000,-18752721.12,-20170700,-20299473.26,-21142200.00,-20323132.18,-21981600.00,-20682690.06,-21203400.00,-18926391.56,-21488400.00,-20299994.44,-21814200.00,-17690290.88,-17897200.00,-18482057.12,-18247500,-17321844.21
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401130,Public Utility-current,-12585600,-11621974.21,-11592000,-11092484.53,-11285000,-11208027.18,-12225600,-12090967.62,-12409800.00,-12130096.82,-12234400.00,-12896014.82,-12994000.00,-12232866.49,-12398200.00,-12676836.37,-13404200.00,-10103622.88,-10399900.00,-10539791.80,-10391600,-9563568.12
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401201,Delinqnt RealPrpTaxSold-cur yr,-8560300,-10574118.6,-9879200,-10902176.33,-10714900,-8902898.44,-10578100,-9151110.34,-10640800.00,-9522980.92,-10259500.00,-9310887.59,-9622000.00,-9520193.25,-9952700.00,-6909582.54,-10460100.00,-8086104.24,-10773900.00,-10053365.78,-11097100,-13413267.49
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401212,Real-Collectn-pre,-79100,-1073253.2,-53000,638069.59,-52500,-445418.81,-75700,431163.23,-274300.00,-415211.34,-270400.00,301473.43,-270400.00,-233846.26,-267200.00,-471227.66,-286800.00,-465625.85,-395900.00,512076.03,-395900,869429.65
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401213,Real-C & M-pre,-125000,-258311.88,-114500,-338112.85,-113400,-408567.48,-266200,-128880.58,-264500.00,-290183.65,-260700.00,-83187.48,-260700.00,-151736.83,-257600.00,-68714.90,-276500.00,-107749.47,-68700.00,-58100.51,-68700,22638.67
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401222,Prsnlty-Cllctn-pre,-120000,-359791.44,-123000,37698.65,0,-195941.5,-117000,-232049.73,-252000.00,110534.49,-248400.00,-26389.76,-248400.00,361108.23,-245500.00,-154242.51,-263500.00,102839.60,-26400.00,-66287.26,-26400,-9881.81
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401224,Prsnlty - C&M Tax Lit precee,-128000,-63086.68,-87300,-107074.08,0,-103864.44,-99000,-189135.07,-99500.00,-107606.49,-98100.00,-41852.36,-98100.00,-209279.48,-96900.00,-224196.13,-104000.00,-274965.23,-252500.00,-200617.44,-259900,-188689.33
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401232,PU-Collections-pre,-800,-38111.93,-28300,213.54,0,-7086.96,0,2082.68,0.00,18770.74,0.00,14862.84,0.00,-203.84,0.00,-9499.89,0.00,-42735.33,-42700.00,0.00,-42700,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401234,PU - C&M Tax Lit preceeding,0,-263443.12,0,-155754.27,0,-44498.53,-59100,-45031.17,-42700.00,0.00,-42100.00,-102457.21,-42100.00,-42751.49,-41600.00,-52320.01,-44700.00,-29755.53,-42800.00,-810.97,-67000,-13768.37
